,tweet,bias
7158,Last night's horrific execution-style shootings of 12 Dallas law enforcement officers...https://www.facebook.com/DonaldTrump/posts/10157277205810725 …,1
1766,Our plan will stand up to the abuse of power by prescription drug corporations and take concrete steps to lower drug prices for Americans. Because no one should have to choose between putting food on the table or filling their prescription. https://t.co/fXyUfRDQtd,0
9950,Looks like many anti-police agitators in Boston. Police are looking tough and smart! Thank you.,1
10473,Happy Birthday @ TheLeeGreenwood! # FlashbackFridaypic.twitter.com/MCrMK6Eurm,1
953,“Wealthy people are good people… But one thing they don’t need is more tax breaks.” –VP Biden,0
12701,"“Mainstream Media tries to rewrite history to credit Obama for Trump accomplishments. Since President Trump took office, the economy is booming. The stronger the economy gets, the more desperate his critics are. O had weakest recovery since Great Depression.” @ WashTimes",1
11854,Canada has treated our Agricultural business and Farmers very poorly for a very long period of time. Highly restrictive on Trade! They must open their markets and take down their trade barriers! They report a really high surplus on trade with us. Do Timber & Lumber in U.S.?,1
5438,"We can’t let 2016 repeat itself. There’s simply too much on the line for anyone to sit this election out.

Get registered to vote today: https://t.co/eoxT07d7QB

#NationalVoterRegistrationDay https://t.co/teVRgVxeeJ",0
5675,"In January, I said President Trump was the worst possible leader to deal with a public health crisis. And everything we’ve been through in the months since has proven that to be true. https://t.co/twcy3Ql0Xc",0
10750,"Many people in our Country are asking what the “Justice” Department is going to do about the fact that totally Crooked Hillary, AFTER receiving a subpoena from the United States Congress, deleted and “acid washed” 33,000 Emails? No justice!",1
7349,"Join our next Vice President, @ Mike_Pence in Wisconsin tonight & Michigan Thursday! MI: https://www.donaldjtrump.com/schedule/register/waukesha-wi/ … WI: https://www.donaldjtrump.com/schedule/register/grand-rapids-mi1/ …",1
13195,"College educated women want safety, security and healthcare protections – very much along with financial and economic health for themselves and our Country. I supply all of this far better than any Democrat (for decades, actually). That’s why they will be voting for me!",1
14789,No Collusion - No Obstruction!,1
8358,Inside ‘Bill Clinton Inc.’: Hacked memo reveals intersection of charity and personal income. # DrainTheSwamp!https://www.washingtonpost.com/politics/inside-bill-clinton-inc-hacked-memo-reveals-intersection-of-charity-and-personal-income/2016/10/26/3bf84bba-9b92-11e6-b3c9-f662adaa0048_story.html …,1
3274,Empathy matters. I think it's important — not only for leaders — but for everybody to treat people with respect. https://t.co/5HhEOowbBg,0
16353,".....all Jews, Blacks, Gays, everyone. And importantly, he’s good for everyone in America who wants a job.” Wow! @ newsmax @ foxandfriends @ OANN",1
9058,"...is all of the illegal leaks of classified and other information. It is a total ""witch hunt!""",1
16139,"....Chariman Kim has a great and beautiful vision for his country, and only the United States, with me as President, can make that vision come true. He will do the right thing because he is far too smart not to, and he does not want to disappoint his friend, President Trump!",1
117,Thanks to Randy Johnson for sharing his story about the impact of Romney economics—let's fight to keep different values in the WH. –Joe,0
11429,"Today, it was my honor to welcome Estonia President @ KerstiKaljulaid, Lithuania President @ Grybauskaite_LT, and Latvia President @ Vejonis to the @ WhiteHouse. Congratulations on your 100th anniversaries of independence! # BalticSummit: http://45.wh.gov/RtVRmD pic.twitter.com/RRftyTGEvb",1
4849,"The hard truth is women — and particularly women of color — have never had a fair shot to get ahead in this country. That's why today, I'm releasing my plan to make sure women can fully participate in our economy and country. https://t.co/vUWUanQAR0",0
6681,Thank you @ LtStevenLRogers. We will respond to terrorism with strength in 2017!https://amp.twimg.com/v/55610e7e-e370-4f5e-a031-0098a264184d …,1
1902,Senator Harris’ Medicare for All plan still gets rid of employer-sponsored coverage and still costs 30x more than Joe Biden’s health care plan. Just changing the start date by 6 years doesn’t change the fact it is bad policy. #DemDebate https://t.co/CsBtsTevWE,0
12850,"If the U.S. sells a car into China, there is a tax of 25%. If China sells a car into the U.S., there is a tax of 2%. Does anybody think that is FAIR? The days of the U.S. being ripped-off by other nations is OVER!",1
8381,"""@DeplorableCBTP: ""In my mind, # DonaldTrump is the only way out of this mess."" - # PhilRobertson of TV's # DuckDynasty"" Thank you Phil!",1
978,"""These guys… seem to be carbon copies of each other."" —VP Biden on Ron Johnson and Donald Trump. #votebluewi",0
7871,"Really sad news: The great Arnold Palmer, the ""King,"" has died. There was no-one like him - a true champion! He will be truly missed.",1
10684,"Will be calling the President of Egypt in a short while to discuss the tragic terrorist attack, with so much loss of life. We have to get TOUGHER AND SMARTER than ever before, and we will. Need the WALL, need the BAN! God bless the people of Egypt.",1
612,"""Iran is more isolated today than when we took office."" —VP Biden",0
14316,President Xi of China has been very helpful in his support of my meeting with Kim Jong Un. The last thing China wants are large scale nuclear weapons right next door. Sanctions placed on the border by China and Russia have been very helpful. Great relationship with Chairman Kim!,1
6038,"Tonight marks our last end-of-month fundraising deadline — and it’s our most important one yet.

With three days until Election Day, we can’t afford to fall short.

If you’re able, please chip in to help us reach our goal: https://t.co/avjGKglNpD",0
18190,"The Republicans House members were fantastic yesterday. It always helps to have a much better case, in fact the Dems have no case at all, but the unity & sheer brilliance of these Republican warriors, all of them, was a beautiful sight to see. Dems had no answers and wanted out!",1
6563,It was so great being in Nebraska last week. Today is the big day--get out and vote!,1
13877,"It’s incredible how Democrats can all use their ridiculous sound bite and say that a Wall doesn’t work. It does, and properly built, almost 100%! They say it’s old technology - but so is the wheel. They now say it is immoral- but it is far more immoral for people to be dying!",1
5829,"Hay muchos asuntos que son complicados, pero algunas cosas son visiblemente claras. Las familias deben permanecer unidas. https://t.co/rLC69J5rHI",0
4265,Crisis reveals character — and character belongs in the White House. https://t.co/5XD4rtjNDL,0
6069,""" @ Ma1973sk: Actually, no @ FoxNews, @ megynkelly has a sick obsession with Trump. Every day, every show, trashing, negative, hate.",1
119,More great pics from the VP’s campaign trip through Ohio and Pennsylvania: http://t.co/hsVPbY2S,0
7947,"I won the debate if you decide without watching the totally one-sided ""spin"" that followed. This despite the really bad microphone.",1
9689,"JOBS, JOBS, JOBS! # MAGApic.twitter.com/HScS4Y9ZJK",1
14715,"....I got along very well with Jerry during the zoning and building process. Then I changed course (slightly), became President, and now I am dealing with Congressman Nadler again. Some things never end, but hopefully it will all go well for everyone. Only time will tell!",1
1286,It is clear this administration has abandoned those core American beliefs. Secretary Mattis’ presence and his voice of reason and experience will be missed in the Pentagon and the Situation Room.,0
17531,Where’s the Whistleblower?,1
7762,"Wow, Hillary Clinton was SO INSULTING to my supporters, millions of amazing, hard working people. I think it will cost her at the Polls!",1
16726,Some really big Court wins on the Border lately!,1
8989,Congratulations Treasury Secretary Steven Mnuchin! # ICYMI- watch here: https://www.facebook.com/DonaldTrump/posts/10158646970740725 …pic.twitter.com/K8tWLlXiYK,1
10074,"This is a storm of enormous destructive power, and I ask everyone in the storm’s path to heed ALL instructions from government officials.pic.twitter.com/nJfM2Sdme1",1
7245,The media is spending more time doing a forensic analysis of Melania's speech than the FBI spent on Hillary's emails.,1
7534,"Thank you Erie, Pennsylvania! Together we will # MakeAmericaGreatAgain!pic.twitter.com/5hZp7PnRoT",1
16512,Just arrived at Camp David!,1
17001,"Very simple! I was looking for Corruption and also why Germany, France and others in the European Union don’t do more for Ukraine. Why is it always the USA that does so much and puts up so much money for Ukraine and other countries? By the way, the Bidens were corrupt!",1
39,A favorite photo: Joe gets barbecue with his son Beau during the 2008 Democratic National Convention in Denver. http://t.co/oxtdDhCn,0
14447,"Republican Senators have a very easy vote this week. It is about Border Security and the Wall (stopping Crime, Drugs etc.), not Constitutionality and Precedent. It is an 80% positive issue. The Dems are 100% United, as usual, on a 20% issue, Open Borders and Crime. Get tough R’s!",1
493,Check out the highlights from Dr. Jill Biden’s trip to colleges in Minnesota and Pennsylvania last week: http://t.co/WUrFsJrE,0
12664,I have asked Secretary of State @ SecPompeo to closely study the South Africa land and farm seizures and expropriations and the large scale killing of farmers. “South African Government is now seizing land from white farmers.” @ TuckerCarlson @ FoxNews,1
9071,How low has President Obama gone to tapp my phones during the very sacred election process. This is Nixon/Watergate. Bad (or sick) guy!,1
